block_id	color
minecraft:polished_blackstone_wall	#1f121b
minecraft:polished_deepslate	#4d4d4d
minecraft:polished_deepslate_slab	#4d4d4d
minecraft:polished_deepslate_stairs	#4d4d4d
minecraft:polished_deepslate_wall	#4d4d4de6
minecraft:polished_diorite	#babbc0
minecraft:polished_diorite_slab	#babbc0
minecraft:polished_diorite_stairs	#babbc0
minecraft:polished_granite	#b57865
minecraft:polished_granite_slab	#926251
minecraft:polished_granite_stairs	#926251
minecraft:polished_tuff	#5b6464
minecraft:polished_tuff_slab	#5b6464
minecraft:polished_tuff_stairs	#5b6464
minecraft:polished_tuff_wall	#5b6464e6
minecraft:poppy	#ed302c64
minecraft:potatoes	#00be3a64
minecraft:potted_acacia_sapling	#7e982164
minecraft:potted_allium	#b878ed64
minecraft:potted_azalea_bush	#6b7d3064
minecraft:potted_azure_bluet	#ffec4f64
minecraft:potted_bamboo	#3d631764
minecraft:potted_birch_sapling	#6c9e3864
minecraft:potted_blue_orchid	#2abffd64
minecraft:potted_brown_mushroom	#cc997864
minecraft:potted_cactus	#64983264
minecraft:potted_cherry_sapling	#84536b64
minecraft:potted_closed_eyeblossom	#a698a264
minecraft:potted_cornflower	#466aeb64
minecraft:potted_crimson_fungus	#a4242964
minecraft:potted_crimson_roots	#ad101c64
minecraft:potted_dandelion	#bd6a2264
minecraft:potted_dark_oak_sapling	#10521064
minecraft:potted_dead_bush	#b17a3664
minecraft:potted_fern	#50784664
minecraft:potted_flowering_azalea_bush	#6f5c5364
minecraft:potted_jungle_sapling	#37802064
minecraft:potted_lily_of_the_valley	#d8d8d864
minecraft:potted_mangrove_propagule	#47a84864
minecraft:potted_oak_sapling	#1f651964
minecraft:potted_open_eyeblossom	#a698a264
minecraft:potted_orange_tulip	#f19d2564
minecraft:potted_oxeye_daisy	#d6e8e864
minecraft:potted_pale_oak_sapling	#87908564
minecraft:potted_pink_tulip	#ebc5fd64
minecraft:potted_poppy	#ed302c64
minecraft:potted_red_mushroom	#fe2a2a64
minecraft:potted_red_tulip	#ed302c64
minecraft:potted_spruce_sapling	#395a3964
minecraft:potted_torchflower	#d4777464
minecraft:potted_warped_fungus	#109a8564
minecraft:potted_warped_roots	#14b48564
minecraft:potted_white_tulip	#9bbdbd64
minecraft:potted_wither_rose	#2a1f1964
minecraft:powder_snow	#effaf9
minecraft:powder_snow_cauldron	#f4fcfc
minecraft:powered_rail	#9e422678
minecraft:prismarine	#5ea496
minecraft:prismarine_brick_slab	#5aafa4
minecraft:prismarine_brick_stairs	#5aafa4
minecraft:prismarine_bricks	#6eb9ae
minecraft:prismarine_slab	#5ea496
minecraft:prismarine_stairs	#5ea496
minecraft:prismarine_wall	#41816ae6
minecraft:pumpkin	#f48600
minecraft:pumpkin_stem	#938d1e64
minecraft:purple_banner	#7e828150
minecraft:purple_bed	#8b30bd
minecraft:purple_candle	#922ac878
minecraft:purple_candle_cake	#c25aff
minecraft:purple_carpet	#7421a7
minecraft:purple_concrete	#651a9e
minecraft:purple_concrete_powder	#651a9e
minecraft:purple_glazed_terracotta	#64199d
minecraft:purple_shulker_box	#7426a9
minecraft:purple_stained_glass	#c7addc96
minecraft:purple_stained_glass_pane	#751f910a
minecraft:purple_terracotta	#744152
minecraft:purple_wall_banner	#7e82810a
minecraft:purple_wool	#7421a7
minecraft:purpur_block	#b286b2
minecraft:purpur_pillar	#906590
minecraft:purpur_slab	#ac7bac
minecraft:purpur_stairs	#ac7bac
